location_id,location_name,date,wind_speed,wind_unit,wind_direction,gust_speed,session
LOC03,TARIFA,15 May 2023,-5.0,knots,east,11.6,morning
LOC02,"Jericoacoara, Brazil",28 Jan 2024,40.6 km/h,km/h,west,24.7,allday
LOC01, Cumbuco,07/16/2024,6,beaufort,S,24.0,allday
LOC09,Garda,2024-02-27,21.9 km/h,km/h,45°,16.0,morning
LOC07,"Dakhla, Morocco",Sep 23 2023,34.3 km/h,km/h,southwest,20.7,afternoon
LOC07,Dakhla,06 Feb 2024,10.9 m/s,m/s,northeast,24.8,afternoon
LOC06,Cabarete,2023-08-16,7.3,knots,45°,8.8,morning
LOC04,Maui,19/06/2023,3,beaufort,315,13.3,allday
LOC05,Cape Town,15/11/2023,10.9 m/s,m/s,north,28.6,allday
LOC09,"Lake Garda, Italy",22/09/2023,13.7 knots,knots,315°,19.2,afternoon
LOC09,Garda,Sep 12 2023,24.0 knots,knots,northeast,28.4,morning
LOC08,"Ilha do Guajiru, Brazil",2024-09-22,6,beaufort,315,32.1,allday
LOC08,"Ilha do Guajiru, Brazil",2024-03-26,38.9 km/h,km/h,270,27.8,allday
LOC01, Cumbuco,06/02/2024,18.0,knots,S,25.0,allday
LOC01,cumbuco,05/15/2024,16.8 knots,knots,southeast,18.9,allday
LOC03,Tarifa,22 Apr 2024,3,beaufort,180°,11.9,morning
LOC03,TARIFA,10/23/2023,18.1 knots,knots,S,22.1,afternoon
LOC06,"Cabarete, Dominican Rep.",17/06/2023,10.4 knots,knots,135°,12.4,morning
LOC07,"Dakhla, Morocco",Apr 12 2023,20.6 km/h,km/h,135°,14.4,morning
LOC09,Garda,22 Feb 2023,25.9 km/h,km/h,0°,16.0,afternoon
LOC02,jericoacoara,23/02/2024,15.0 m/s,m/s,225,34.8,allday
LOC09,"Lake Garda, Italy",May 02 2024,27.4 km/h,km/h,north,20.3,afternoon
LOC01,cumbuco,Feb 09 2023,5,beaufort,135,26.1,allday
LOC03,Tarifa,28 Dec 2023,7,beaufort,270,34.9,afternoon
LOC04,Maui,2023-05-11,5,beaufort,315°,22.3,allday
LOC09,Lago di Garda,Jun 24 2023,22.1,knots,135°,28.3,morning
LOC07,DAKHLA,25 Jul 2023,0.0,knots,225,8.2,morning
LOC09,"Lake Garda, Italy",09/19/2024,24.5,knots,west,27.9,morning
LOC04,Maui,06 Oct 2024,6.9 m/s,m/s,315,14.9,allday
LOC01,"Cumbuco, Brazil",11/04/2024,8.6 m/s,m/s,0,19.0,allday
LOC06,Cabarete,Jan 05 2023,4.9 m/s,m/s,135,8.4,morning
LOC08,Guajiru,2023-11-02,24.5 knots,knots,180,27.9,allday
LOC01, Cumbuco,Nov 08 2023,9.4 m/s,m/s,SW,22.0,allday
LOC04,"Maui, Hawaii",Jul 01 2023,35.2 km/h,km/h,90,14.0,allday
LOC03,TARIFA,25 Feb 2024,150.0,knots,southeast,23.2,afternoon
LOC04,Maui,01/07/2024,17.5,knots,S,23.7,allday
LOC09,Garda,07/13/2023,14.6 m/s,m/s,315,33.4,morning
LOC06,cabarete,01/09/2023,7,beaufort,E,22.7,afternoon
LOC04,Maui,06/01/2023,19.4 knots,knots,315,8.8,allday
LOC06,Cabarete,29/03/2023,9.6 knots,knots,45°,13.4,morning
LOC05,"Cape Town, South Africa",Apr 29 2024,50.4 km/h,km/h,S,30.1,allday
LOC07,DAKHLA,09/29/2023,7.0,knots,90,9.5,morning
LOC03,Tarifa,27 Dec 2024,11.7 knots,knots,225,14.1,morning
LOC09,Garda,2023-08-15,15.1,knots,southeast,,morning
LOC06,"Cabarete, Dominican Rep.",Feb 10 2024,1,beaufort,225°,4.9,morning
LOC01, Cumbuco,2024-04-14,5,beaufort,east,24.3,allday
LOC07,"Dakhla, Morocco",06 Mar 2024,24.5,knots,225°,33.4,afternoon
LOC01,"Cumbuco, Brazil",05 Feb 2023,8.4 m/s,m/s,315,,allday
LOC03,TARIFA,2024-09-25,43.5 km/h,km/h,0,30.7,afternoon
LOC05,"Cape Town, South Africa",06/21/2023,9,beaufort,225,41.9,allday
